ID,Urbanizacion,Manzana,Lote,Estado,Cuota
34-41-20,34,41,20,Vendido,"600,000"
34-41-21,34,41,21,Vendido,"800,000"
34-41-22,34,41,22,Vendido,"600,000"
34-41-24,34,41,24,Vendido,"800,000"
34-42-9,34,42,9,Vendido,"600,000"
34-42-10,34,42,10,Vendido,"600,000"
34-42-11,34,42,11,Vendido,"600,000"
34-42-14,34,42,14,Vendido,"700,000"
34-42-15,34,42,15,Vendido,"700,000"
34-42-17,34,42,17,Vendido,"600,000"
34-42-18,34,42,18,Vendido,"600,000"
34-42-23,34,42,23,Vendido,"600,000"
34-42-24,34,42,24,Vendido,"600,000"
34-42-25,34,42,25,Vendido,"600,000"
34-42-26,34,42,26,Vendido,"600,000"
34-44-6,34,44,6,Vendido,"500,000"
34-44-7,34,44,7,Vendido,"600,000"
34-44-8,34,44,8,Vendido,"600,000"
34-44-9,34,44,9,Vendido,"600,000"
34-44-15,34,44,15,Vendido,"600,000"
34-45-10,34,45,10,Vendido,"600,000"
34-45-11,34,45,11,Vendido,"600,000"
34-45-12,34,45,12,Vendido,"800,000"
34-45-16,34,45,16,Vendido,"500,000"
34-45-17,34,45,17,Vendido,"500,000"
34-46-2,34,46,2,Vendido,"700,000"
34-46-3,34,46,3,Vendido,"500,000"
34-46-4,34,46,4,Vendido,"500,000"
34-46-5,34,46,5,Vendido,"500,000"
34-46-6,34,46,6,Vendido,"800,000"
34-46-7,34,46,7,Vendido,"800,000"
34-46-9,34,46,9,Vendido,"600,000"
34-47-1,34,47,1,Vendido,"700,000"
34-47-5,34,47,5,Vendido,"800,000"
34-47-6,34,47,6,Vendido,"800,000"
34-47-7,34,47,7,Vendido,"600,000"
34-47-8,34,47,8,Vendido,"600,000"
34-47-9,34,47,9,Vendido,"800,000"
34-47-13,34,47,13,Vendido,"500,000"
34-48-1,34,48,1,Vendido,"800,000"
34-48-14,34,48,14,Vendido,"800,000"
34-48-23,34,48,23,Vendido,"800,000"
34-49-8,34,49,8,Vendido,"700,000"
34-49-17,34,49,17,Vendido,"800,000"
35-5-1,35,5,1,Cancelado,"1,150,000"
35-2-1,35,2,1,Reserva de Propietario,"660,000"
35-2-2,35,2,2,Reserva de Propietario,"700,000"
35-2-3,35,2,3,Reserva de Propietario,"660,000"
35-2-4,35,2,4,Reserva de Propietario,"660,000"
35-2-7,35,2,7,Reserva de Propietario,"850,000"
35-2-8,35,2,8,Reserva de Propietario,"660,000"
35-4-8,35,4,8,Reserva de Propietario,"480,000"
35-1-2,35,1,2,Bloqueo Administrativo,"750,000"
35-2-10,35,2,10,Bloqueo Administrativo,"570,000"
35-1-1,35,1,1,Vendido,"650,000"
35-1-3,35,1,3,Vendido,"650,000"
35-1-4,35,1,4,Vendido,"750,000"
35-1-5,35,1,5,Vendido,"750,000"
35-1-6,35,1,6,Vendido,"750,000"
35-2-5,35,2,5,Vendido,"550,000"
35-2-6,35,2,6,Vendido,"550,000"
35-2-9,35,2,9,Vendido,"580,000"
35-3-1,35,3,1,Vendido,"600,000"
35-3-2,35,3,2,Vendido,"520,000"
35-3-3,35,3,3,Vendido,"650,000"
35-3-4,35,3,4,Vendido,"650,000"
35-3-5,35,3,5,Vendido,"660,000"
35-3-6,35,3,6,Vendido,"600,000"
35-3-7,35,3,7,Vendido,"500,000"
35-3-8,35,3,8,Vendido,"550,000"
35-3-9,35,3,9,Vendido,"530,000"
35-4-1,35,4,1,Vendido,"450,000"
35-4-2,35,4,2,Vendido,"500,000"
35-4-3,35,4,3,Vendido,"480,000"
35-4-4,35,4,4,Vendido,"450,000"
35-4-5,35,4,5,Vendido,"500,000"
35-4-6,35,4,6,Vendido,"450,000"
35-4-7,35,4,7,Vendido,"450,000"
35-4-9,35,4,9,Vendido,"470,000"
35-5-2,35,5,2,Vendido,"450,000"
35-5-3,35,5,3,Vendido,"400,000"
35-5-4,35,5,4,Vendido,"400,000"
35-5-5,35,5,5,Vendido,"580,000"
35-5-6,35,5,6,Vendido,"420,000"
35-5-7,35,5,7,Vendido,"400,000"
35-5-8,35,5,8,Vendido,"430,000"
35-5-9,35,5,9,Vendido,"420,000"
35-6-1,35,6,1,Vendido,"350,000"
35-6-2,35,6,2,Vendido,"380,000"
35-6-3,35,6,3,Vendido,"350,000"
35-6-4,35,6,4,Vendido,"450,000"
35-6-5,35,6,5,Vendido,"350,000"
35-6-6,35,6,6,Vendido,"450,000"
35-6-7,35,6,7,Vendido,"350,000"
35-6-8,35,6,8,Vendido,"380,000"
